2025/3/27 15:14:49, 273129121, Hammer, Entry
2025/3/27 15:16:49, 273129121, Hammer, Exit
2025/3/27 15:17:49, 273129122, Screwdriver, Entry
2025/3/27 15:19:49, 273129122, Screwdriver, Exit
2025/3/27 15:23:49, 273129123, Wrench, Entry
2025/3/27 15:45:49, 273128368, Pliers, Entry
2025/3/27 15:53:49, 273127991, Drill, Entry
2025/1/1 12:0:2, 273127991, Drill, Exit
2025/3/27 16:55:41, 273127991, Drill, Entry
2025/3/27 16:59:1, 273127991, Drill, Exit
2025/3/27 16:59:17, 273127991, Drill, Entry
2025/3/27 16:59:25, 273127991, Drill, Exit
2025/3/27 16:59:35, 273127991, Drill, Entry
2025/3/27 17:0:2, 273127991, Drill, Exit
